satelite,timestamp,Mode,📻 Power,📏 Distance,📐 Elevation,📶 RSSI,SNR,Predicted Doppler,Frequency Error,CRC Error,Received by
"






          PICO-1B-7 ☀️
        ","Mar 18, 2025 12:08:57 (3 days ago)",LoRa@450.1875,631mW,1185Km,22.23º,-119 dBm,-5 dB,3912.47Hz,2267.02Hz,"

",1 Stations
"






          Vladivostok-1 🌜
        ","Mar 15, 2025 22:06:10 (6 days ago)",LoRa@436.804,800mW,1157Km,19.86º,-125.5 dBm,-8.5 dB,-3188.24Hz,-2157.97Hz,"

",2 Stations
"






          Vladivostok-1 🌜
        ","Mar 15, 2025 22:06:08 (6 days ago)",LoRa@436.804,800mW,1152Km,19.98º,-127.5 dBm,-10.5 dB,-3062.16Hz,-2325.74Hz,"

",2 Stations
"






          Vladivostok-1 🌜
        ","Mar 15, 2025 22:05:18 (6 days ago)",LoRa@436.804,800mW,1106Km,21.27º,-122.75 dBm,-5.75 dB,408.71Hz,-6163.53Hz,"

",2 Stations
"






          Vladivostok-1 🌜
        ","Mar 15, 2025 22:05:15 (6 days ago)",LoRa@436.804,800mW,1107Km,21.24º,-128 dBm,-10 dB,624.37Hz,-6301.94Hz,"

",2 Stations
"






          Unknown
        ","Mar 15, 2025 21:56:54 (6 days ago)",LoRa@436,- -,572Km,64.28º,-124.5 dBm,-10.5 dB,-3696.57Hz,-109.05Hz,"

",1 Stations
"






          Unknown
        ","Mar 15, 2025 21:24:13 (6 days ago)",LoRa@436.2445,- -,525Km,63.12º,-120.25 dBm,-7.25 dB,970.07Hz,-4765.78Hz,"

",1 Stations
"






          HOD-HOD-1A 🌜
        ","Mar 15, 2025 21:23:12 (6 days ago)",LoRa@436.2445,4000mW,724Km,38.24º,-125.75 dBm,-12.75 dB,7478.42Hz,-11879.32Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:13:05 (6 days ago)",LoRa@400.265,9000mW,896Km,63.88º,-122.75 dBm,-11.75 dB,-1602.94Hz,-804.26Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:12:50 (6 days ago)",LoRa@400.265,9000mW,884Km,65.81º,-116 dBm,-5 dB,-608.28Hz,-1890.58Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:12:35 (6 days ago)",LoRa@400.265,9000mW,882Km,65.95º,-119 dBm,-8 dB,409.85Hz,-3004.17Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:12:20 (6 days ago)",LoRa@400.265,9000mW,893Km,64.27º,-118.25 dBm,-7.25 dB,1412.43Hz,-4107.27Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:12:13 (6 days ago)",LoRa@400.265,9000mW,901Km,62.97º,-120.75 dBm,-9.75 dB,1864.53Hz,-5147.46Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:11:35 (6 days ago)",LoRa@400.265,9000mW,986Km,53.18º,-121 dBm,-9 dB,4012.06Hz,-6955.20Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:11:21 (6 days ago)",LoRa@400.265,9000mW,1032Km,49.29º,-110.75 dBm,-0.75 dB,4647.22Hz,-7699.69Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:11:06 (6 days ago)",LoRa@400.265,9000mW,1087Km,45.28º,-125.25 dBm,-13.25 dB,5234.33Hz,-8339.33Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:10:50 (6 days ago)",LoRa@400.265,9000mW,1153Km,41.27º,-116.75 dBm,-5.75 dB,5763.15Hz,-8869.90Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:10:35 (6 days ago)",LoRa@400.265,9000mW,1221Km,37.79º,-115.75 dBm,-4.75 dB,6178.79Hz,-9324.99Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:10:20 (6 days ago)",LoRa@400.265,9000mW,1292Km,34.60º,-118.25 dBm,-7.25 dB,6528.17Hz,-9710.86Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:10:05 (6 days ago)",LoRa@400.265,9000mW,1367Km,31.67º,-120 dBm,-10 dB,6821.65Hz,-10033.82Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:09:50 (6 days ago)",LoRa@400.265,9000mW,1445Km,28.98º,-121 dBm,-11 dB,7068.43Hz,-10308.55Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:09:35 (6 days ago)",LoRa@400.265,9000mW,1526Km,26.52º,-121 dBm,-11 dB,7276.35Hz,-10537.14Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:09:05 (6 days ago)",LoRa@400.265,9000mW,1693Km,22.15º,-121 dBm,-11 dB,7600.78Hz,-10887.36Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:08:50 (6 days ago)",LoRa@400.265,9000mW,1779Km,20.21º,-120 dBm,-9 dB,7727.18Hz,-11023.68Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:08:35 (6 days ago)",LoRa@400.265,9000mW,1867Km,18.41º,-122.5 dBm,-11.5 dB,7834.83Hz,-11134.83Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:08:20 (6 days ago)",LoRa@400.265,9000mW,1955Km,16.73º,-126 dBm,-15 dB,7926.72Hz,-11239.69Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:07:35 (6 days ago)",LoRa@400.265,9000mW,2226Km,12.27º,-122.75 dBm,-10.75 dB,8130.09Hz,-11468.28Hz,"

",1 Stations
"






          Tianqi-24 ☀️
        ","Mar 15, 2025 20:07:20 (6 days ago)",LoRa@400.265,9000mW,2318Km,10.95º,-125.75 dBm,-13.75 dB,8179.33Hz,-11529.09Hz,"

",2 Stations
"






          Unknown
        ","Mar 15, 2025 18:13:08 (6 days ago)",LoRa@436.703,- -,2456Km,0.67º,-127.25 dBm,-16.25 dB,-1811.19Hz,-1663.04Hz,"

",1 Stations
