satelite,timestamp,Mode,📻 Power,📏 Distance,📐 Elevation,📶 RSSI,SNR,Predicted Doppler,Frequency Error,CRC Error,Received by
          PICO-1B-7 ☀️        ,2025-03-18 12:08:57,450.1875,631,1185,22.23,-119 ,-5 ,3912.47,2267.02,"

",1 
          Vladivostok-1 🌜        ,2025-03-15 22:06:10,436.804,800,1157,19.86,-125.5 ,-8.5 ,-3188.24,-2157.97,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:06:08,436.804,800,1152,19.98,-127.5 ,-10.5 ,-3062.16,-2325.74,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:05:18,436.804,800,1106,21.27,-122.75 ,-5.75 ,408.71,-6163.53,"

",2 
          Vladivostok-1 🌜        ,2025-03-15 22:05:15,436.804,800,1107,21.24,-128 ,-10 ,624.37,-6301.94,"

",2 
          Unknown        ,2025-03-15 21:56:54,436,,572,64.28,-124.5 ,-10.5 ,-3696.57,-109.05,"

",1 
          Unknown        ,2025-03-15 21:24:13,436.2445,,525,63.12,-120.25 ,-7.25 ,970.07,-4765.78,"

",1 
          HOD-HOD-1A 🌜        ,2025-03-15 21:23:12,436.2445,4000,724,38.24,-125.75 ,-12.75 ,7478.42,-11879.32,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:13:05,400.265,9000,896,63.88,-122.75 ,-11.75 ,-1602.94,-804.26,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:50,400.265,9000,884,65.81,-116 ,-5 ,-608.28,-1890.58,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:35,400.265,9000,882,65.95,-119 ,-8 ,409.85,-3004.17,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:20,400.265,9000,893,64.27,-118.25 ,-7.25 ,1412.43,-4107.27,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:12:13,400.265,9000,901,62.97,-120.75 ,-9.75 ,1864.53,-5147.46,"

",1 
          Tianqi-24 ☀️        ,2025-03-15 20:11:35,400.265,9000,986,53.18,-121 ,-9 ,4012.06,-6955.20,"

",1 
